 
       w [eV]        Osc. strength         Transition      Weight      KS [eV]      D<S*S>
 
 ==========================================================================================
 
      3.303          0.0002397           278   -> 325       0.995       3.301       0.150
      3.304          0.0000319           274   -> 281       0.992       3.304       1.615
      3.305          0.0000346           278   -> 326       0.995       3.304       0.097
      3.305          0.0000440           225   -> 279       0.996       3.305       0.893
      3.307          0.0000908           276   -> 284       0.999       3.307       0.628
      3.308          0.0000026           190   -> 279       1.000       3.308       0.997
      3.309          0.0000973           274   -> 281       0.993       3.308       0.377
      3.310          0.0000220           277   -> 289       0.958       3.311       1.812
      3.312          0.0007010           275   -> 283       0.998       3.311       0.777
      3.314          0.0001284           277   -> 289       0.949       3.312       0.167
      3.316          0.0000228           276   -> 285       0.997       3.316       1.483
      3.316          0.0000047           224   -> 279       1.000       3.316       0.999
      3.319          0.0001345           276   -> 285       0.997       3.319       0.484
      3.320          0.0000045           277   -> 290       0.824       3.320       1.968
      3.322          0.0001837           277   -> 290       0.827       3.321       0.024
      3.325          0.0000125           223   -> 279       1.000       3.325       0.998
      3.330          0.0003035           271   -> 280       1.000       3.329       1.310
      3.341          0.0000078           222   -> 279       1.000       3.341       0.999
      3.341          0.0003986           271   -> 280       0.999       3.340       0.705
      3.342          0.0000319           189   -> 279       1.000       3.342       0.992
      3.344          0.0000332           275   -> 284       1.000       3.344       1.197
      3.347          0.0001133           202   -> 278       0.992       3.347       0.146
      3.348          0.0002194           270   -> 280       0.989       3.347       1.053
      3.349          0.0000534           275   -> 284       1.000       3.348       0.803
      3.351          0.0000351           273   -> 281       0.998       3.351       1.478
      3.353          0.0000323           278   -> 327       1.000       3.352       0.002
      3.354          0.0000786           273   -> 281       0.998       3.354       0.559
      3.356          0.0000020           276   -> 286       0.702       3.361       1.953
      3.358          0.0000496           275   -> 285       0.994       3.358       1.192
      3.358          0.0003381           270   -> 280       1.000       3.358       0.775
      3.361          0.0000717           275   -> 285       0.999       3.361       0.828
      3.361          0.0000122           221   -> 279       1.000       3.361       0.999
      3.363          0.0000344           272   -> 281       1.000       3.363       1.115
      3.365          0.0001585           269   -> 280       1.000       3.365       1.100
      3.365          0.0000921           201   -> 278       1.000       3.365       0.006
      3.366          0.0001897           274   -> 282       0.874       3.367       0.971
      3.367          0.0000736           272   -> 281       0.874       3.367       1.099
      3.367          0.0000084           220   -> 279       1.000       3.367       0.999
      3.368          0.0010420           274   -> 282       0.923       3.369       0.720
      3.370          0.0008025           274   -> 282       0.752       3.369       0.124
      3.375          0.0002954           269   -> 280       1.000       3.375       0.878
      3.378          0.0000152           188   -> 279       1.000       3.378       0.997
      3.380          0.0000082           200   -> 278       1.000       3.380       0.009
